index,Last (Price),Change,Bid / Ask,Volume,Volume (4w avg),Turnover,Open,Day Range,VWAP,Prev Close,Last Trade,1 Week,1 Month,2023 YTD,1 Year,vs Sector (1yr),vs ASX 200 (1yr),Market Cap,ASX Rank,Sector Rank,Shares Issued,Sector,Similar Companies,EPS,DPS,Book Value Per Share,Breakdown,Recommendation,Last Updated,Ticker
Value,$112.29,"1.54
(1.39%)","$111.95
-
$112.60","326,421","381,557","$36,711,769",$113.50,$110.37 - $113.67,$112.515,$110.75,6:58pm 03/11 (AEDT),+5.63%,-0.58%,+59.80%,+51.56%,+34.94%,+49.81%,"$17,008,348,345","27 of 2,408",3 of 239,"151,468,059",Technology,APT / WTC / NXT,-$0.711,$0.00,$0.556,"15 Buy
· 4 Hold
· 2 Sell",Buy,01/10/23,XRO
Value,$12.45,"0.21
(1.72%)","$12.40
-
$12.57","1,000,437","1,105,434","$12,473,859",$12.43,$12.34 - $12.55,$12.47,$12.24,6:58pm 03/11 (AEDT),+4.97%,+0.57%,+38.08%,+48.53%,+31.92%,+46.78%,"$6,408,112,085","81 of 2,408",4 of 239,"514,707,798",Technology,ALU / TNE / DDR,-$0.009,$0.00,$4.315,"18 Buy
· 1 Hold
· 1 Sell",Strong Buy,01/10/23,NXT
Value,$40.81,"0.12
(-0.29%)","$40.70
-
$41.48","587,422","305,331","$24,100,381",$41.50,$40.67 - $41.55,$41.03,$40.93,6:58pm 03/11 (AEDT),+1.19%,-4.81%,+16.33%,+14.51%,-2.11%,+12.75%,"$5,383,934,259","91 of 2,408",5 of 239,"131,926,838",Technology,TNE / NXT / DDR,$0.499,$0.54,$0.091,"9 Buy
· 8 Hold
· 3 Sell",Hold,01/10/23,ALU
Value,$15.23,"0.07
(0.46%)","$15.15
-
$15.50","557,360","582,802","$8,495,926",$15.34,$15.11 - $15.41,$15.245,$15.16,6:58pm 03/11 (AEDT),+2.01%,-1.36%,+15.91%,+24.33%,+7.71%,+22.57%,"$4,944,796,107","98 of 2,408",6 of 239,"324,674,728",Technology,ALU / NXT / DDR,$0.298,$0.1744,$0.162,"8 Buy
· 7 Hold
· 2 Sell",Buy,01/10/23,TNE
Value,$10.15,"0.22
(2.22%)","$10.09
-
$10.20","646,712","1,078,817","$6,570,826",$10.10,$10.04 - $10.35,$10.16,$9.93,6:58pm 03/11 (AEDT),+5.40%,-14.27%,+60.86%,+71.45%,+54.84%,+69.70%,"$1,614,491,622","224 of 2,408",8 of 239,"159,063,214",Technology,360 / MAQ / CDA,-$0.268,$0.00,$0.461,"11 Buy
· 5 Hold
· 1 Sell",Buy,01/10/23,MP1
Value,$7.81,"0.00
(0.00)","$7.73
-
$7.86","436,263","517,440","$3,451,791",$7.92,$7.69 - $8.07,$7.91,$7.81,6:58pm 03/11 (AEDT),+4.55%,-6.58%,+60.70%,+15.36%,-1.25%,+13.61%,"$1,582,839,236","229 of 2,408",9 of 239,"202,668,276",Technology,MP1 / MAQ / CDA,-$0.277,$0.00,$0.29,"9 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,360
Value,$63.66,"0.46
(0.73%)","$63.19
-
$65.36","15,035","10,701","$966,170",$63.45,$63.35 - $65.08,$64.26,$63.20,6:58pm 03/11 (AEDT),+2.76%,+1.48%,+6.99%,+9.01%,-,+7.25%,"$1,549,756,101","237 of 2,408",10 of 239,"24,344,268",Technology,360 / MP1 / CDA,$0.816,$0.00,$12.358,"7 Buy
· 1 Hold
· 2 Sell",Buy,01/10/23,MAQ
Value,$4.32,"0.07
(1.65%)","$4.30
-
$4.34","341,078","674,017","$1,486,124",$4.47,$4.30 - $4.50,$4.355,$4.25,6:58pm 03/11 (AEDT),+9.92%,-6.49%,+42.11%,+44.48%,-,+42.73%,"$1,188,285,578","271 of 2,408",12 of 239,"275,066,106",Technology,ISX / SP1 / DTL,-$0.19,$0.00,$0.102,"14 Buy
· 4 Hold
· 1 Sell",Buy,01/10/23,SDR
Value,$7.23,"0.08
(1.12%)","$7.10
-
$7.24","640,561","313,561","$4,620,996",$7.20,$7.11 - $7.29,$7.215,$7.15,6:58pm 03/11 (AEDT),+0.98%,+4.93%,+6.79%,+4.78%,-11.83%,+3.03%,"$1,118,510,383","280 of 2,408",15 of 239,"154,704,064",Technology,AD8 / ISX / SP1,$0.239,$0.219,$0.343,"7 Buy
· 3 Hold
· 2 Sell",Buy,01/10/23,DTL
Value,$11.06,"0.14
(1.28%)","$11.05
-
$11.08","349,809","161,092","$3,851,619",$11.00,$10.95 - $11.14,$11.01,$10.92,6:58pm 03/11 (AEDT),+10.60%,+15.57%,+8.54%,+10.49%,-6.13%,+8.74%,"$1,993,491,263","186 of 2,408",7 of 239,"180,243,333",Technology,MP1 / 360 / MAQ,$0.428,$0.355,$1.277,"7 Buy
· 3 Hold
· 0 Sell",Strong Buy,01/10/23,DDR
Value,$8.00,"0.01
(-0.13%)","$7.85
-
$8.14","219,800","309,693","$1,766,131",$8.09,$7.96 - $8.15,$8.035,$8.01,6:58pm 03/11 (AEDT),-0.37%,+2.96%,+95.12%,+99.50%,+82.89%,+97.75%,"$1,450,528,904","246 of 2,408",11 of 239,"181,316,113",Technology,MAQ / 360 / MP1,$0.374,$0.185,$0.73,"8 Buy
· 2 Hold
· 0 Sell",Strong Buy,01/10/23,CDA
Value,$13.22,"0.42
(-3.08%)","$13.22
-
$13.49","78,352","159,319","$1,045,137",$13.51,$13.20 - $13.63,$13.34,$13.64,6:58pm 03/11 (AEDT),-1.20%,-0.15%,+76.74%,+61.22%,+44.61%,+59.47%,"$1,098,698,812","283 of 2,408",16 of 239,"83,108,836",Technology,DTL / HSN / NEA,-$0.035,$0.00,$0.671,"8 Buy
· 2 Hold
· 1 Sell",Buy,01/10/23,AD8
Value,$0.735,"0.015
(2.08%)","$0.735
-
$0.74","3,215,285","3,499,647","$2,404,135",$0.75,$0.735 - $0.76,$0.7475,$0.72,6:58pm 03/11 (AEDT),0.00,-9.82%,-50.00%,-71.06%,-87.68%,-72.82%,"$359,128,493","511 of 2,408",33 of 239,"488,610,194",Technology,OTW / RUL / BVS,-$0.15,$0.00,$0.439,"0 Buy
· 3 Hold
· 4 Sell",Strong Sell,01/10/23,NVX
Value,$0.355,"0.015
(4.41%)","$0.34
-
$0.355","54,793","65,668","$18,988",$0.35,$0.34 - $0.355,$0.3465,$0.34,6:58pm 03/11 (AEDT),-1.39%,+7.58%,+39.22%,+37.86%,+21.25%,+36.11%,"$124,375,315","847 of 2,408",62 of 239,"350,353,001",Technology,EOL / PYG / MSL,$0.002,$0.00,$0.022,"5 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,SPZ
Value,$0.60,"0.02
(3.45%)","$0.585
-
$0.61","70,750","152,866","$42,718",$0.60,$0.59 - $0.62,$0.604,$0.58,6:58pm 03/11 (AEDT),+1.69%,-4.76%,-13.81%,-36.13%,-,-37.88%,"$110,778,704","885 of 2,408",65 of 239,"184,631,174",Technology,LME / AXE / CRO,-$0.023,$0.00,$0.05,"4 Buy
· 2 Hold
· 0 Sell",Buy,01/10/23,ERD
Value,$0.58,"0.00
(0.00)","$0.575
-
$0.595",0,"3,478",$0,‐,‐ - ‐,‐,$0.58,6:58pm 03/11 (AEDT),+0.87%,-2.52%,-33.71%,-38.62%,-,-40.38%,"$99,693,360","922 of 2,408",70 of 239,"171,885,104",Technology,PX1 / ACE / CRO,-$0.064,$0.00,$0.362,,,,RWL
