index,Last (Price),Change,Bid / Ask,Volume,Volume (4w avg),Turnover,Open,Day Range,VWAP,Prev Close,Last Trade,1 Week,1 Month,2023 YTD,1 Year,vs Sector (1yr),vs ASX 200 (1yr),Market Cap,ASX Rank,Sector Rank,Shares Issued,Sector,Similar Companies,EPS,DPS,Book Value Per Share,Breakdown,Recommendation,Last Updated,Ticker
Value,$31.26,"1.02
(3.37%)","$29.88
-
$31.35","160,245","245,483","$4,999,714",$31.07,$30.56 - $31.45,$31.20,$30.24,6:58pm 03/11 (AEDT),+3.30%,+1.20%,+21.78%,+11.96%,+5.78%,+10.21%,"$2,570,210,986","152 of 2,408",14 of 150,"82,220,441",Consumer Cyclical,CTD / WEB / SUL,$1.079,$0.62,$0.60,"6 Buy
· 5 Hold
· 2 Sell",Hold,01/10/23,ARB
Value,$11.08,"0.17
(1.56%)","$10.77
-
$11.35","366,353","441,797","$4,045,735",$10.95,$10.725 - $11.10,$11.045,$10.91,6:58pm 03/11 (AEDT),+2.59%,-4.24%,+46.17%,+37.98%,+31.80%,+36.23%,"$1,561,113,232","234 of 2,408",23 of 150,"140,894,696",Consumer Cyclical,SGR / LNW / SKC,$0.693,$0.39,$0.526,"11 Buy
· 2 Hold
· 0 Sell",Strong Buy,01/10/23,GUD
Value,$10.12,"0.07
(0.70%)","$9.96
-
$10.92","37,398","127,350","$378,557",$10.16,$10.06 - $10.22,$10.12,$10.05,6:58pm 03/11 (AEDT),-0.88%,-8.08%,-6.04%,-3.98%,-10.17%,-5.74%,"$1,016,899,406","295 of 2,408",28 of 150,"100,484,131",Consumer Cyclical,BGP / CTT / AX1,$0.217,$0.125,$0.722,"7 Buy
· 4 Hold
· 1 Sell",Buy,01/10/23,PWH
Value,$16.10,"0.65
(-3.88%)","$16.15
-
$17.10","5,570",758,"$90,352",$16.75,$16.01 - $16.75,$16.22,$16.75,6:58pm 03/11 (AEDT),-3.88%,-5.35%,-11.05%,-10.26%,-16.44%,-12.01%,"$218,469,868","672 of 2,408",58 of 150,"13,569,557",Consumer Cyclical,NDO / ALG / BST,$1.811,$0.90,$3.324,,,,SFC
Value,$0.89,"0.00
(0.00)","$0.845
-
$0.90",0,"11,146",$0,‐,‐ - ‐,‐,$0.89,6:58pm 03/11 (AEDT),+3.49%,-6.32%,-19.09%,-34.07%,-40.26%,-35.83%,"$72,343,803","1,034 of 2,408",88 of 150,"81,285,172",Consumer Cyclical,ISU / KED / CCX,$0.084,$0.0233,$0.986,,,,AHL
Value,$0.155,"0.005
(3.33%)","$0.145
-
$0.155","82,262","432,421","$12,513",$0.155,$0.145 - $0.155,$0.152,$0.15,6:58pm 03/11 (AEDT),0.00,-32.61%,-60.76%,-62.65%,-68.84%,-64.41%,"$44,987,245","1,217 of 2,408",96 of 150,"290,240,290",Consumer Cyclical,DNA / BBT / MFD,$0.025,$0.00,$0.202,,,,VMT
Value,$0.081,"0.0005
(0.62%)","$0.078
-
$0.085","92,000","26,007","$7,490",$0.081,$0.081 - $0.082,$0.0815,$0.0805,6:58pm 03/11 (AEDT),+1.25%,-6.90%,-49.38%,-59.50%,-65.69%,-61.25%,"$15,831,293","1,653 of 2,408",122 of 150,"195,448,061",Consumer Cyclical,XRG / ABV / CLU,$0.01,$0.00,$0.031,,,,RPM
Value,$0.044,"0.002
(4.76%)","$0.043
-
$0.046","231,792","154,298","$10,160",$0.042,$0.042 - $0.045,$0.044,$0.042,6:58pm 03/11 (AEDT),-2.22%,0.00,+10.00%,+37.50%,+31.32%,+35.75%,"$16,696,546","1,626 of 2,408",120 of 150,"379,466,944",Consumer Cyclical,XRG / RPM / UCW,$0.004,$0.00,$0.017,,,,ABV
Value,$0.004,"0.00
(0.00)","$0.004
-
$0.005","286,645","1,241,239","$1,147",$0.004,$0.004 - $0.004,$0.004,$0.004,6:58pm 03/11 (AEDT),0.00,+33.33%,-42.86%,-20.00%,-26.19%,-21.75%,"$4,843,811","2,143 of 2,408",133 of 150,"1,210,952,783",Consumer Cyclical,MHI / SIX / AUA,$0.00,$0.00,$0.008,,,,DDT
Value,$0.014,"0.00
(0.00)","$0.012
-
$0.014",176,"555,355",$2,$0.014,$0.014 - $0.014,$0.014,$0.014,6:58pm 03/11 (AEDT),-6.67%,-22.22%,-54.84%,-26.32%,-32.50%,-28.07%,"$4,745,972","2,151 of 2,408",135 of 150,"338,998,012",Consumer Cyclical,AUA / MHI / DDT,-$0.02,$0.00,$0.003,,,,SIX
Value,$99.93,"1.50
(1.52%)","$99.75
-
$99.95","2,507,791","1,993,484","$250,439,945",$99.60,$99.20 - $99.99,$99.845,$98.43,6:58pm 03/11 (AEDT),+3.02%,+0.08%,-2.60%,-4.37%,-0.86%,-6.13%,"$167,435,476,166","2 of 2,408",1 of 573,"1,675,527,631",Financial Services,NAB / ANZ / WBC,$5.893,$4.50,$38.582,"0 Buy
· 5 Hold
· 15 Sell",Strong Sell,01/10/23,CBA
Value,$29.06,"0.49
(1.72%)","$28.92
-
$29.10","4,699,140","4,334,055","$136,415,820",$28.95,$28.78 - $29.13,$29.025,$28.57,6:58pm 03/11 (AEDT),+3.05%,+0.35%,-3.33%,-9.61%,-6.09%,-11.37%,"$90,927,255,819","4 of 2,408",2 of 573,"3,128,948,927",Financial Services,ANZ / WBC / MQG,$2.268,$1.61,$17.372,"9 Buy
· 5 Hold
· 4 Sell",Hold,01/10/23,NAB
Value,$25.60,"0.23
(0.91%)","$25.59
-
$25.63","5,813,929","5,496,181","$148,785,898",$25.73,$25.56 - $25.75,$25.635,$25.37,6:58pm 03/11 (AEDT),+3.27%,+0.43%,+11.26%,-0.31%,+3.21%,-2.07%,"$76,935,344,282","5 of 2,408",3 of 573,"3,005,286,886",Financial Services,WBC / MQG / NAB,$2.297,$1.55,$20.682,"12 Buy
· 4 Hold
· 2 Sell",Buy,01/10/23,ANZ
Value,$21.50,"0.33
(1.56%)","$21.44
-
$21.50","7,177,724","6,695,917","$154,169,117",$21.46,$21.39 - $21.58,$21.485,$21.17,6:58pm 03/11 (AEDT),+4.52%,+1.75%,-7.92%,-10.08%,-6.56%,-11.83%,"$75,445,154,640","6 of 2,408",4 of 573,"3,509,076,960",Financial Services,ANZ / MQG / NAB,$1.744,$1.34,$17.161,"3 Buy
· 6 Hold
· 10 Sell",Sell,01/10/23,WBC
Value,$9.09,"0.20
(2.25%)","$9.05
-
$9.10","1,285,689","1,174,747","$11,645,116",$8.96,$8.93 - $9.10,$9.055,$8.89,6:58pm 03/11 (AEDT),+4.72%,+1.79%,-7.34%,+1.11%,+4.63%,-0.64%,"$5,160,947,181","94 of 2,408",19 of 573,"567,760,966",Financial Services,SDF / STW / MLT,$0.792,$0.61,$8.851,"7 Buy
· 8 Hold
· 2 Sell",Hold,01/10/23,BEN
Value,$3.01,"0.13
(4.51%)","$2.98
-
$3.02","10,515,183","1,510,611","$31,555,235",$2.96,$2.94 - $3.015,$2.985,$2.88,6:58pm 03/11 (AEDT),+7.89%,-5.35%,-8.23%,+24.38%,+27.90%,+22.63%,"$2,023,808,193","183 of 2,408",49 of 573,"672,361,526",Financial Services,IAF / VDHG / PDL,$0.337,$0.1922,$4.533,"13 Buy
· 8 Hold
· 3 Sell",Buy,01/10/23,VUK
Value,$5.45,"0.19
(3.61%)","$5.42
-
$5.45","2,691,645","3,507,998","$14,564,520",$5.30,$5.30 - $5.45,$5.41,$5.26,6:58pm 03/11 (AEDT),+4.41%,-4.72%,-21.01%,-24.93%,-21.41%,-26.69%,"$3,581,834,999","116 of 2,408",26 of 573,"657,217,431",Financial Services,NHF / VTS / NDQ,$0.183,$0.44,$7.734,"2 Buy
· 6 Hold
· 12 Sell",Sell,01/10/23,BOQ
Value,$5.31,"0.21
(4.12%)","$5.10
-
$5.35","22,533","7,803","$116,762",$5.10,$5.10 - $5.35,$5.18,$5.10,6:58pm 03/11 (AEDT),+3.11%,+3.11%,+8.37%,+9.94%,-,+8.18%,"$2,480,938,088","157 of 2,408",43 of 573,"467,219,979",Financial Services,VGAD / MGF / ETHI,$2.38,$0.6258,$7.958,,,,BFL
Value,$1.415,"0.00
(0.00)","$1.385
-
$1.63",0,928,$0,‐,‐ - ‐,‐,$1.415,6:58pm 03/11 (AEDT),-5.35%,-12.92%,-17.25%,-14.24%,-10.72%,-16.00%,"$1,012,100,357","296 of 2,408",78 of 573,"715,265,270",Financial Services,VGB / DUI / JDO,$0.14,$0.1063,$1.121,"6 Buy
· 2 Hold
· 0 Sell",Strong Buy,01/10/23,HGH
Value,$0.885,"0.005
(0.57%)","$0.88
-
$0.90","981,281","1,347,745","$871,677",$0.88,$0.88 - $0.90,$0.8885,$0.88,6:58pm 03/11 (AEDT),+4.12%,-11.94%,-33.21%,-30.31%,-,-32.07%,"$981,731,237","301 of 2,408",80 of 573,"1,109,300,833",Financial Services,GMA / VGB / HGH,$0.064,$0.00,$1.297,"5 Buy
· 7 Hold
· 0 Sell",Buy,01/10/23,JDO
Value,$18.37,"0.48
(2.68%)","$17.87
-
$18.88","361,462","335,891","$6,634,489",$18.51,$18.10 - $18.51,$18.355,$17.89,6:58pm 03/11 (AEDT),+4.67%,-1.71%,+29.82%,+22.96%,+21.70%,+21.21%,"$11,866,729,405","40 of 2,408",5 of 197,"645,984,181",Industrials,SVW / AIA / QAN,$0.60,$0.25,$2.484,"0 Buy
· 5 Hold
· 12 Sell",Strong Sell,01/10/23,REH
Value,$29.25,"0.61
(2.13%)","$28.75
-
$29.42","814,627","800,978","$23,798,301",$29.15,$28.78 - $29.42,$29.215,$28.64,6:58pm 03/11 (AEDT),+8.78%,-5.09%,+39.48%,+55.92%,+54.66%,+54.16%,"$10,634,878,420","47 of 2,408",6 of 197,"363,585,587",Industrials,AIA / REH / QAN,$1.677,$0.46,$4.643,"10 Buy
· 4 Hold
· 0 Sell",Strong Buy,01/10/23,SVW
Value,$16.76,"0.06
(0.36%)","$16.40
-
$16.98","672,166","1,063,968","$11,276,621",$16.96,$16.71 - $16.96,$16.775,$16.70,6:58pm 03/11 (AEDT),+1.64%,-4.23%,+11.73%,+15.59%,+14.33%,+13.83%,"$8,828,352,743","57 of 2,408",9 of 197,"526,751,357",Industrials,QAN / ALX / IFT,$0.07,$0.50,-$0.876,"9 Buy
· 3 Hold
· 1 Sell",Buy,01/10/23,WOR
Value,$9.54,"0.29
(3.14%)","$9.02
-
‐","18,508","44,060","$174,664",$9.35,$9.32 - $9.54,$9.435,$9.25,6:58pm 03/11 (AEDT),+4.03%,+1.49%,+21.22%,+22.46%,+21.20%,+20.71%,"$7,936,230,476","65 of 2,408",11 of 197,"831,889,987",Industrials,ALX / WOR / QAN,$0.432,$0.1782,$3.058,"6 Buy
· 5 Hold
· 0 Sell",Buy,01/10/23,IFT
Value,$4.09,"0.07
(1.74%)","$4.08
-
$4.12","1,123,367","807,510","$4,591,552",$4.04,$4.03 - $4.115,$4.085,$4.02,6:58pm 03/11 (AEDT),+1.74%,-6.41%,-8.09%,-11.85%,-13.11%,-13.61%,"$3,202,648,308","129 of 2,408",17 of 197,"783,043,596",Industrials,RWC / DOW / VNT,$0.284,$0.3162,$3.061,"10 Buy
· 3 Hold
· 1 Sell",Buy,01/10/23,FBU
Value,$3.70,"0.10
(2.78%)","$3.68
-
$3.72","1,857,807","3,131,867","$6,864,044",$3.66,$3.66 - $3.71,$3.695,$3.60,6:58pm 03/11 (AEDT),+6.63%,-4.39%,+25.00%,+19.74%,+18.48%,+17.99%,"$2,923,350,631","140 of 2,408",18 of 197,"790,094,765",Industrials,FBU / DOW / VNT,$0.177,$0.1424,$0.157,"13 Buy
· 7 Hold
· 0 Sell",Buy,01/10/23,RWC
Value,$2.76,"0.01
(0.36%)","$2.75
-
$2.77","73,844,197","2,949,504","$200,600,620",$2.75,$2.72 - $2.78,$2.755,$2.75,6:58pm 03/11 (AEDT),-0.72%,-2.82%,+14.52%,+3.76%,+2.50%,+2.01%,"$2,361,137,068","165 of 2,408",20 of 197,"855,484,445",Industrials,BIN / DOW / AIZ,$0.202,$0.1659,-$0.762,"9 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,VNT
Value,$6.41,"0.06
(0.95%)","$6.32
-
$6.46","649,066","557,056","$4,153,817",$6.40,$6.34 - $6.46,$6.40,$6.35,6:58pm 03/11 (AEDT),+11.48%,-1.99%,+3.55%,-4.04%,-5.30%,-5.80%,"$1,771,182,592","202 of 2,408",24 of 197,"276,315,537",Industrials,IPH / KLS / APM,$0.179,$0.09,$0.274,"11 Buy
· 3 Hold
· 1 Sell",Buy,01/10/23,JLG
Value,$14.23,"0.01
(-0.07%)","$13.80
-
$14.39","163,650","202,748","$2,333,920",$14.30,$14.14 - $14.40,$14.26,$14.24,6:58pm 03/11 (AEDT),+0.99%,+1.86%,+6.51%,+1.43%,+0.17%,-0.33%,"$1,379,084,527","250 of 2,408",28 of 197,"96,913,881",Industrials,MAD / DBI / RDX,$0.55,$0.49,$0.617,"9 Buy
· 4 Hold
· 1 Sell",Buy,01/10/23,MND
Value,$2.34,"0.00
(0.00)","$2.29
-
$2.34","20,499","276,203","$47,788",$2.31,$2.29 - $2.34,$2.33,$2.34,6:58pm 03/11 (AEDT),-2.90%,+7.34%,-8.24%,-8.24%,-9.50%,-9.99%,"$1,228,690,542","263 of 2,408",31 of 197,"525,081,428",Industrials,MMS / SIQ / NWH,$38.768,$0.00,$0.447,"5 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,RDX
Value,$0.285,"0.025
(9.62%)","$0.27
-
$0.285","110,064","191,029","$30,873",$0.265,$0.265 - $0.29,$0.2805,$0.26,6:58pm 03/11 (AEDT),-1.72%,-5.00%,+83.87%,+54.05%,-,+52.30%,"$14,793,759","1,687 of 2,408",581 of 978,"51,907,925",Basic Materials,ADV / ASE / MRZ,-$0.044,$0.00,$0.123,,,,SLB
Value,$0.115,"0.005
(-4.17%)","$0.11
-
$0.12","235,426","99,197","$27,978",$0.12,$0.115 - $0.12,$0.119,$0.12,6:58pm 03/11 (AEDT),-4.17%,+15.00%,-28.13%,-42.50%,-,-44.25%,"$15,394,552","1,668 of 2,408",570 of 978,"133,865,666",Basic Materials,SGA / MMA / AII,-$0.067,$0.00,$0.034,,,,TRE
Value,$0.043,"0.00
(0.00)","$0.039
-
$0.043","66,652","67,243","$2,866",$0.043,$0.043 - $0.043,$0.043,$0.043,6:58pm 03/11 (AEDT),-4.44%,-6.52%,-50.58%,-47.67%,-,-49.42%,"$8,402,873","1,938 of 2,408",162 of 197,"195,415,646",Industrials,14D / TTI / 1CG,-$0.107,$0.00,$0.048,,,,OXT
Value,$0.09,"0.00
(0.00)","$0.093
-
$0.115",0,"16,786",$0,‐,‐ - ‐,‐,$0.09,6:58pm 03/11 (AEDT),-25.00%,-43.75%,-75.00%,-79.55%,-,-81.30%,"$3,275,392","2,269 of 2,408",917 of 978,"36,393,239",Basic Materials,CRS / GNM / CBY,-$0.116,$0.00,$0.123,,,,S3N
Value,$0.079,"0.01
(-11.24%)","$0.079
-
$0.095","35,572","129,659","$2,983",$0.086,$0.079 - $0.086,$0.084,$0.089,6:58pm 03/11 (AEDT),+12.86%,-13.19%,-31.30%,-53.53%,-,-55.28%,"$4,778,546","2,148 of 2,408",850 of 978,"60,487,930",Basic Materials,THR / BOA / SNX,$0.00,$0.00,$0.00,,,,HRE
Value,$0.063,"0.001
(-1.56%)","$0.063
-
$0.066","265,082","109,818","$16,917",$0.064,$0.063 - $0.064,$0.064,$0.064,6:58pm 03/11 (AEDT),+14.55%,+26.00%,-51.35%,-59.93%,-,-61.69%,"$3,753,229","2,233 of 2,408",897 of 978,"59,575,058",Basic Materials,ACS / OM1 / KAL,-$0.081,$0.00,$0.077,,,,KLI
Value,$0.10,"0.011
(12.36%)","$0.096
-
$0.10","193,111","56,492","$18,534",$0.094,$0.094 - $0.10,$0.096,$0.089,6:58pm 03/11 (AEDT),+7.53%,-23.08%,-50.00%,-50.00%,-63.87%,-51.75%,"$3,856,249","2,220 of 2,408",890 of 978,"38,562,492",Basic Materials,ENV / NCR / ADG,$0.00,$0.00,$0.00,,,,DY6
Value,$13.45,"0.14
(1.05%)","$13.40
-
$13.47","4,749,010","3,860,511","$63,655,591",$13.26,$13.11 - $13.50,$13.415,$13.31,6:58pm 03/11 (AEDT),-3.79%,-6.08%,+11.43%,+15.06%,+13.80%,+13.30%,"$18,714,442,617","24 of 2,408",3 of 197,"1,391,408,373",Industrials,CPU / SYD / REH,$0.464,$0.395,$1.145,"12 Buy
· 5 Hold
· 2 Sell",Buy,01/10/23,BXB
Value,$25.13,"0.35
(1.41%)","$24.79
-
$25.30","1,529,083","1,430,562","$38,417,867",$25.04,$24.98 - $25.20,$25.125,$24.78,6:58pm 03/11 (AEDT),+1.82%,-2.63%,-4.08%,-3.12%,-4.38%,-4.88%,"$15,171,718,214","29 of 2,408",4 of 197,"603,729,336",Industrials,REH / BXB / SVW,$0.735,$0.70,-$1.908,"11 Buy
· 3 Hold
· 0 Sell",Strong Buy,01/10/23,CPU
Value,$10.94,"0.17
(1.58%)","$10.68
-
$11.00","1,181,048","751,589","$12,910,551",$10.91,$10.87 - $10.99,$10.94,$10.77,6:58pm 03/11 (AEDT),+1.30%,-3.61%,-10.55%,-3.70%,-4.96%,-5.45%,"$5,296,794,463","93 of 2,408",15 of 197,"484,167,684",Industrials,CWY / QUB / AZJ,$0.566,$0.397,-$0.097,"8 Buy
· 5 Hold
· 0 Sell",Buy,01/10/23,ALQ
Value,$2.39,"0.09
(3.91%)","$2.35
-
$2.40","5,042,306","4,298,610","$11,977,377",$2.32,$2.30 - $2.40,$2.375,$2.30,6:58pm 03/11 (AEDT),+4.37%,-1.24%,-9.13%,-12.45%,-13.72%,-14.21%,"$5,325,958,414","92 of 2,408",14 of 197,"2,228,434,483",Industrials,ALQ / QUB / AZJ,$0.01,$0.049,-$0.059,"8 Buy
· 7 Hold
· 2 Sell",Buy,01/10/23,CWY
Value,$3.78,"0.01
(0.27%)","$3.76
-
$3.80","2,061,252","1,366,844","$7,811,335",$3.82,$3.75 - $3.845,$3.79,$3.77,6:58pm 03/11 (AEDT),+2.16%,-6.90%,+1.89%,-21.41%,-22.68%,-23.17%,"$2,538,548,507","154 of 2,408",19 of 197,"671,573,679",Industrials,VNT / BIN / RWC,-$0.59,$0.13,$0.163,"5 Buy
· 5 Hold
· 0 Sell",Buy,01/10/23,DOW
Value,$2.09,"0.01
(-0.48%)","$2.07
-
$2.11","1,139,385","1,143,498","$2,390,561",$2.10,$2.08 - $2.13,$2.095,$2.10,6:58pm 03/11 (AEDT),+6.09%,+11.47%,-12.18%,-37.43%,-38.69%,-39.18%,"$1,916,910,267","189 of 2,408",23 of 197,"917,181,946",Industrials,JLG / AIZ / IPH,$0.117,$0.10,-$0.773,"7 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,APM
Value,$7.10,"0.18
(2.60%)","$6.80
-
$7.15","1,032,860","589,916","$7,327,336",$7.08,$6.96 - $7.13,$7.09,$6.92,6:58pm 03/11 (AEDT),+2.75%,-4.05%,-18.67%,-27.03%,-28.29%,-28.78%,"$1,704,155,050","216 of 2,408",25 of 197,"240,021,838",Industrials,KLS / JLG / SLK,$0.284,$0.33,-$1.117,"8 Buy
· 5 Hold
· 1 Sell",Buy,01/10/23,IPH
Value,$6.83,"0.09
(1.34%)","$6.75
-
$6.90","331,916","171,289","$2,264,894",$6.80,$6.77 - $7.13,$6.87,$6.74,6:58pm 03/11 (AEDT),+13.83%,+2.55%,+88.15%,+89.72%,+88.46%,+87.97%,"$1,366,000,000","252 of 2,408",29 of 197,"200,000,000",Industrials,MND / DBI / RDX,$0.182,$0.058,$0.598,"1 Buy
· 5 Hold
· 5 Sell",Sell,01/10/23,MAD
Value,$17.60,"0.14
(0.80%)","$17.57
-
$18.06","321,679","237,302","$5,710,750",$17.57,$17.57 - $18.03,$17.755,$17.46,6:58pm 03/11 (AEDT),+7.19%,+10.00%,+30.95%,+31.93%,+30.67%,+30.18%,"$1,225,717,222","264 of 2,408",32 of 197,"69,643,024",Industrials,RDX / SIQ / NWH,$0.89,$1.98,$1.148,"5 Buy
· 4 Hold
· 1 Sell",Buy,01/10/23,MMS
Value,$8.94,"0.01
(-0.11%)","$8.80
-
$8.95","447,619","455,704","$3,993,171",$8.97,$8.835 - $9.04,$8.92,$8.95,6:58pm 03/11 (AEDT),+5.05%,+8.63%,+75.29%,+87.82%,+86.55%,+86.06%,"$1,187,559,821","272 of 2,408",33 of 197,"132,836,669",Industrials,NWH / MMS / RDX,$0.438,$0.445,-$0.366,"7 Buy
· 3 Hold
· 1 Sell",Buy,01/10/23,SIQ
Value,$52.32,"0.89
(1.73%)","$52.00
-
$52.35","1,362,196","1,474,727","$71,096,006",$52.10,$51.86 - $52.355,$52.23,$51.43,6:58pm 03/11 (AEDT),+3.87%,-0.44%,+13.96%,+16.19%,+10.00%,+14.44%,"$59,330,483,885","10 of 2,408",1 of 150,"1,133,992,429",Consumer Cyclical,ALL / TLC / CWN,$2.176,$1.91,$3.163,"10 Buy
· 6 Hold
· 3 Sell",Buy,01/10/23,WES
Value,$46.58,"0.71
(1.55%)","$46.20
-
$46.59","454,810","382,298","$21,116,905",$46.40,$46.19 - $46.58,$46.43,$45.87,6:58pm 03/11 (AEDT),+5.82%,+3.17%,+11.04%,+9.42%,+3.24%,+7.67%,"$5,092,776,835","97 of 2,408",6 of 150,"109,333,981",Consumer Cyclical,DMP / HVN / FLT,$4.779,$3.12,$3.551,"3 Buy
· 6 Hold
· 10 Sell",Sell,01/10/23,JBH
Value,$3.69,"0.02
(0.55%)","$3.68
-
$3.72","1,673,253","2,803,172","$6,193,601",$3.70,$3.67 - $3.725,$3.70,$3.67,6:58pm 03/11 (AEDT),+3.94%,-3.66%,-10.65%,-9.78%,-15.97%,-11.53%,"$4,597,764,553","101 of 2,408",8 of 150,"1,246,006,654",Consumer Cyclical,DMP / FLT / JBH,$0.432,$0.305,$3.51,"2 Buy
· 7 Hold
· 9 Sell",Sell,01/10/23,HVN
Value,$23.52,"0.22
(0.94%)","$23.50
-
$23.58","190,239","229,196","$4,482,301",$23.62,$23.46 - $23.72,$23.56,$23.30,6:58pm 03/11 (AEDT),+4.49%,-2.85%,-5.31%,-4.93%,-11.12%,-6.69%,"$3,750,470,270","114 of 2,408",10 of 150,"159,458,770",Consumer Cyclical,APE / FLT / BRG,$1.686,$1.49,$5.763,"9 Buy
· 5 Hold
· 3 Sell",Buy,01/10/23,PMV
Value,$13.21,"0.02
(-0.15%)","$13.10
-
$13.54","315,396","371,873","$4,182,371",$13.50,$13.14 - $13.51,$13.26,$13.23,6:58pm 03/11 (AEDT),+0.53%,-5.03%,+21.75%,+7.31%,+1.13%,+5.56%,"$3,393,654,416","123 of 2,408",11 of 150,"256,900,410",Consumer Cyclical,BRG / PMV / SUL,$1.083,$0.73,$1.359,"11 Buy
· 6 Hold
· 2 Sell",Buy,01/10/23,APE
Value,$13.31,"0.01
(0.08%)","$13.20
-
$13.34","774,318","868,298","$10,311,787",$13.40,$13.23 - $13.40,$13.32,$13.30,6:58pm 03/11 (AEDT),+4.31%,+12.61%,+24.28%,+31.26%,+25.08%,+29.51%,"$3,005,750,715","134 of 2,408",13 of 150,"225,826,500",Consumer Cyclical,BRG / APE / ARB,$1.154,$1.03,$2.308,"3 Buy
· 9 Hold
· 8 Sell",Sell,01/10/23,SUL
Value,$18.48,"0.08
(0.44%)","$18.40
-
$18.80","337,637","270,259","$6,256,288",$18.69,$18.305 - $18.85,$18.53,$18.40,6:58pm 03/11 (AEDT),+5.78%,-2.84%,-20.03%,-23.73%,-29.92%,-25.49%,"$2,027,119,969","182 of 2,408",17 of 150,"109,692,639",Consumer Cyclical,BAP / TAH / IVC,$0.619,$0.69,$0.69,"12 Buy
· 3 Hold
· 2 Sell",Buy,01/10/23,LOV
Value,$5.54,"0.07
(-1.25%)","$5.53
-
$5.60","759,049","1,176,056","$4,248,839",$5.72,$5.54 - $5.72,$5.60,$5.61,6:58pm 03/11 (AEDT),+2.40%,-18.17%,-14.24%,-17.56%,-23.75%,-19.31%,"$1,880,345,250","191 of 2,408",18 of 150,"339,412,500",Consumer Cyclical,TAH / IVC / LOV,$0.362,$0.22,$0.959,"7 Buy
· 4 Hold
· 1 Sell",Buy,01/10/23,BAP
Value,$1.955,"0.02
(1.03%)","$1.945
-
$1.96","1,673,098","825,084","$3,260,834",$1.935,$1.935 - $1.975,$1.953,$1.935,6:58pm 03/11 (AEDT),+8.01%,+0.51%,+16.37%,+26.54%,+20.35%,+24.78%,"$1,100,768,998","282 of 2,408",26 of 150,"563,053,196",Consumer Cyclical,CKF / CTT / PWH,$0.156,$0.175,$0.105,"7 Buy
· 5 Hold
· 2 Sell",Buy,01/10/23,AX1
Value,$4.42,"0.00
(0.00)","$4.42
-
$4.67",0,58,$0,‐,‐ - ‐,‐,$4.42,6:58pm 03/11 (AEDT),0.00,+0.23%,-12.99%,-12.99%,-19.18%,-14.75%,"$984,624,739","300 of 2,408",29 of 150,"222,765,778",Consumer Cyclical,PWH / NCK / CTT,$0.384,$0.2662,$1.376,"0 Buy
· 4 Hold
· 4 Sell",Sell,01/10/23,BGP
Value,$22.45,"0.70
(3.22%)","$21.90
-
$22.52","277,724","231,182","$6,240,655",$22.48,$22.30 - $22.65,$22.47,$21.75,6:58pm 03/11 (AEDT),+2.93%,+2.89%,+22.34%,+10.70%,+4.52%,+8.95%,"$3,219,899,063","128 of 2,408",12 of 150,"143,425,348",Consumer Cyclical,APE / SUL / PMV,$0.766,$0.305,$2.584,"7 Buy
· 8 Hold
· 2 Sell",Hold,01/10/23,BRG
Value,$8.41,"0.41
(-4.65%)","$8.41
-
$8.45","9,958","2,086","$84,321",$8.50,$8.40 - $8.50,$8.47,$8.82,6:58pm 03/11 (AEDT),-11.47%,-8.09%,-15.90%,-23.55%,-29.73%,-25.30%,"$245,656,941","633 of 2,408",54 of 150,"29,210,100",Consumer Cyclical,PBH / UNI / BBN,-$0.377,$0.00,-$0.081,,,,AKP
Value,$1.65,"0.01
(-0.60%)","$1.65
-
$1.71","23,572","87,944","$39,066",$1.66,$1.65 - $1.66,$1.6575,$1.66,6:58pm 03/11 (AEDT),+1.54%,-10.33%,+16.20%,+9.63%,+3.45%,+7.88%,"$155,569,555","774 of 2,408",67 of 150,"94,284,579",Consumer Cyclical,MTO / RBL / RCT,$0.022,$0.021,$1.254,"4 Buy
· 1 Hold
· 0 Sell",Strong Buy,01/10/23,FWD
Value,$4.20,"0.00
(0.00)","$4.00
-
$4.20",0,568,$0,‐,‐ - ‐,‐,$4.20,6:58pm 03/11 (AEDT),+0.24%,+0.48%,+2.69%,+5.00%,-1.19%,+3.25%,"$147,776,021","792 of 2,408",70 of 150,"35,184,767",Consumer Cyclical,RBL / MTO / FWD,$0.307,$0.10,$3.402,,,,WAT
Value,$0.26,"0.005
(1.96%)","$0.26
-
$0.28","144,845","351,328","$37,365",$0.26,$0.25 - $0.26,$0.258,$0.255,6:58pm 03/11 (AEDT),+1.96%,-23.80%,-25.68%,-21.82%,-20.32%,-23.57%,"$129,125,298","835 of 2,408",73 of 150,"496,635,761",Consumer Cyclical,GLB / STP / VVA,$0.045,$0.011,$0.846,,,,AVJ
Value,$3.10,"0.05
(1.64%)","$2.85
-
$3.09",526,"1,341","$1,631",$3.10,$3.10 - $3.10,$3.10,$3.05,6:58pm 03/11 (AEDT),+1.64%,+1.64%,+3.33%,+3.68%,-2.51%,+1.93%,"$128,537,836","838 of 2,408",74 of 150,"41,463,818",Consumer Cyclical,AVJ / STP / VVA,$0.038,$0.07,$1.694,,,,GLB
